date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ITC.NS,LT.NS,SUNPHARMA.NS
2024-02-12,1435.0443115234375,3791.948486328125,665.4863891601562,1548.28466796875,354.55078125,3212.189697265625,1501.7314453125
2024-02-13,1447.642578125,3818.450439453125,667.6168823242188,1552.3857421875,354.4636535644531,3233.55859375,1509.316162109375
2024-02-14,1463.7236328125,3772.991943359375,662.6377563476562,1535.475341796875,358.6466369628906,3221.3896484375,1487.9810791015625
2024-02-15,1453.076904296875,3775.844970703125,677.000732421875,1544.8289794921875,351.98004150390625,3212.919921875,1477.7049560546875
2024-02-16,1443.17138671875,3798.942138671875,679.801513671875,1568.14404296875,352.59002685546875,3297.0810546875,1477.7537841796875
2024-02-17,1443.17138671875,3798.942138671875,679.801513671875,1568.14404296875,352.59002685546875,3297.0810546875,1477.7537841796875
2024-02-18,1443.17138671875,3798.942138671875,679.801513671875,1568.14404296875,352.59002685546875,3297.0810546875,1477.7537841796875
2024-02-19,1456.4364013671875,3776.396728515625,678.4609985351562,1566.39306640625,356.64227294921875,3251.423095703125,1497.47412109375
2024-02-20,1453.496826171875,3709.08251953125,696.2711791992188,1553.030517578125,353.897216796875,3267.875244140625,1505.8907470703125
2024-02-21,1450.2115478515625,3673.05615234375,689.017822265625,1525.660888671875,351.500732421875,3209.122802734375,1510.490478515625
2024-02-22,1464.0941162109375,3761.029052734375,679.634033203125,1549.436767578125,361.17388916015625,3274.690185546875,1524.8282470703125
2024-02-23,1475.82763671875,3728.821533203125,680.1365966796875,1545.2896728515625,358.51593017578125,3298.249267578125,1527.9599609375
2024-02-24,1475.82763671875,3728.821533203125,680.1365966796875,1545.2896728515625,358.51593017578125,3298.249267578125,1527.9599609375
2024-02-25,1475.82763671875,3728.821533203125,680.1365966796875,1545.2896728515625,358.51593017578125,3298.249267578125,1527.9599609375
2024-02-26,1469.6026611328125,3681.843994140625,680.9505615234375,1529.9000244140625,356.5987243652344,3378.272705078125,1523.7515869140625
2024-02-27,1467.94775390625,3776.948974609375,679.9212646484375,1533.079345703125,358.29803466796875,3413.61181640625,1549.0015869140625
2024-02-28,1438.2803955078125,3790.338134765625,674.7744750976562,1540.1290283203125,355.8143920898437,3378.321533203125,1540.291259765625
2024-02-29,1443.393798828125,3768.390869140625,671.90185546875,1542.571044921875,354.07147216796875,3385.47705078125,1544.3037109375
2024-03-01,1474.345458984375,3767.70068359375,684.9961547851562,1524.8775634765625,356.86016845703125,3537.2978515625,1526.0025634765625
2024-03-02,1474.345458984375,3767.70068359375,684.9961547851562,1524.8775634765625,356.86016845703125,3537.2978515625,1526.0025634765625
2024-03-03,1474.345458984375,3767.70068359375,684.9961547851562,1524.8775634765625,356.86016845703125,3537.2978515625,1526.0025634765625
2024-03-04,1489.4384765625,3755.139404296875,685.9297485351562,1508.75048828125,356.5115661621094,3547.9580078125,1519.0050048828125
2024-03-05,1482.32421875,3692.0126953125,689.8317260742188,1480.4591064453125,353.9407958984375,3516.951416015625,1540.6337890625
2024-03-06,1485.0909423828125,3740.0478515625,690.6695556640625,1490.642333984375,355.4222717285156,3545.767578125,1569.79833984375
2024-03-07,1461.302734375,3780.81396484375,692.3452758789062,1489.62841796875,360.3895263671875,3579.59765625,1571.462158203125
2024-03-08,1461.302734375,3780.81396484375,692.3452758789062,1489.62841796875,360.3895263671875,3579.59765625,1571.462158203125
2024-03-09,1461.302734375,3780.81396484375,692.3452758789062,1489.62841796875,360.3895263671875,3579.59765625,1571.462158203125
2024-03-10,1461.302734375,3780.81396484375,692.3452758789062,1489.62841796875,360.3895263671875,3579.59765625,1571.462158203125
2024-03-11,1449.12451171875,3793.466796875,683.5838012695312,1475.0220947265625,356.7730407714844,3544.210205078125,1559.6201171875
2024-03-12,1457.844482421875,3857.790771484375,698.78466796875,1486.4029541015625,352.4593200683594,3525.76171875,1550.5184326171875
2024-03-13,1415.10986328125,3817.990234375,699.1915893554688,1484.974609375,368.14544677734375,3444.86181640625,1525.366455078125
2024-03-14,1414.4180908203125,3871.915771484375,696.8217163085938,1523.5875244140625,365.7054138183594,3512.66796875,1536.718994140625
2024-03-15,1401.3260498046875,3882.635986328125,695.481201171875,1505.8016357421875,365.2261047363281,3443.4990234375,1515.188232421875
2024-03-16,1401.3260498046875,3882.635986328125,695.481201171875,1505.8016357421875,365.2261047363281,3443.4990234375,1515.188232421875
2024-03-17,1401.3260498046875,3882.635986328125,695.481201171875,1505.8016357421875,365.2261047363281,3443.4990234375,1515.188232421875
2024-03-18,1422.32275390625,3821.21142578125,692.3212890625,1476.911376953125,363.7881774902344,3466.912353515625,1537.7467041015625
2024-03-19,1408.267333984375,3659.98876953125,693.9011840820312,1438.943603515625,356.9037170410156,3408.987548828125,1515.4327392578125
2024-03-20,1426.5469970703125,3654.099365234375,685.1397705078125,1432.95361328125,362.26318359375,3416.775634765625,1516.313720703125
2024-03-21,1433.685791015625,3655.98583984375,692.1776123046875,1432.72314453125,367.0997009277344,3465.743896484375,1531.8255615234375
2024-03-22,1437.6876220703125,3598.88623046875,690.7892456054688,1390.470458984375,373.5049133300781,3522.013671875,1574.593994140625
2024-03-23,1437.6876220703125,3598.88623046875,690.7892456054688,1390.470458984375,373.5049133300781,3522.013671875,1574.593994140625
2024-03-24,1437.6876220703125,3598.88623046875,690.7892456054688,1390.470458984375,373.5049133300781,3522.013671875,1574.593994140625
2024-03-25,1437.6876220703125,3598.88623046875,690.7892456054688,1390.470458984375,373.5049133300781,3522.013671875,1574.593994140625
2024-03-26,1424.3978271484375,3568.15087890625,682.4347534179688,1375.54150390625,372.6770324707031,3572.928955078125,1564.0242919921875
2024-03-27,1475.061767578125,3534.47119140625,689.7598876953125,1367.431884765625,372.9820556640625,3608.267822265625,1569.9453125
2024-03-28,1468.1451416015625,3567.046875,693.20703125,1380.517822265625,373.28704833984375,3664.245361328125,1585.99560546875
2024-03-29,1468.1451416015625,3567.046875,693.20703125,1380.517822265625,373.28704833984375,3664.245361328125,1585.99560546875
2024-03-30,1468.1451416015625,3567.046875,693.20703125,1380.517822265625,373.28704833984375,3664.245361328125,1585.99560546875
2024-03-31,1468.1451416015625,3567.046875,693.20703125,1380.517822265625,373.28704833984375,3664.245361328125,1585.99560546875
2024-04-01,1467.0831298828125,3604.269775390625,704.027099609375,1378.1219482421875,371.8491516113281,3736.383544921875,1594.510009765625
2024-04-02,1469.232177734375,3573.948486328125,708.6472778320312,1366.51025390625,371.1083984375,3706.593505859375,1587.659423828125
2024-04-03,1454.0650634765625,3632.38232421875,709.6766967773438,1364.4830322265625,370.5419616699219,3682.304443359375,1585.310302734375
2024-04-04,1445.4935302734375,3683.91455078125,731.3648071289062,1370.0582275390625,368.4069213867188,3697.296875,1584.8211669921875
2024-04-05,1442.7021484375,3661.783447265625,741.8737182617188,1363.0545654296875,372.58990478515625,3643.996337890625,1574.69189453125
2024-04-06,1442.7021484375,3661.783447265625,741.8737182617188,1363.0545654296875,372.58990478515625,3643.996337890625,1574.69189453125
2024-04-07,1442.7021484375,3661.783447265625,741.8737182617188,1363.0545654296875,372.58990478515625,3643.996337890625,1574.69189453125
2024-04-08,1468.268798828125,3655.61767578125,740.4613647460938,1360.8428955078125,373.940673828125,3707.031982421875,1565.590087890625
2024-04-09,1446.2098388671875,3631.6923828125,741.3949584960938,1377.56884765625,371.5441284179688,3685.0302734375,1568.3795166015625
2024-04-10,1461.9449462890625,3666.75244140625,735.553955078125,1388.581298828125,380.7815856933594,3653.82861328125,1569.847412109375
2024-04-11,1461.9449462890625,3666.75244140625,735.553955078125,1388.581298828125,380.7815856933594,3653.82861328125,1569.847412109375
2024-04-12,1449.6680908203125,3682.16650390625,727.2234497070312,1368.2613525390625,374.8120727539063,3581.8369140625,1507.1630859375
2024-04-13,1449.6680908203125,3682.16650390625,727.2234497070312,1368.2613525390625,374.8120727539063,3581.8369140625,1507.1630859375
2024-04-14,1449.6680908203125,3682.16650390625,727.2234497070312,1368.2613525390625,374.8120727539063,3581.8369140625,1507.1630859375
2024-04-15,1447.3707275390625,3626.768798828125,715.61328125,1352.963623046875,371.1519775390625,3505.4638671875,1507.2120361328125
2024-04-16,1448.2847900390625,3563.82568359375,722.5794677734375,1303.476806640625,371.1519775390625,3449.632080078125,1504.765380859375
2024-04-17,1448.2847900390625,3563.82568359375,722.5794677734375,1303.476806640625,371.1519775390625,3449.632080078125,1504.765380859375
2024-04-18,1446.876708984375,3553.8876953125,715.61328125,1307.900146484375,365.00823974609375,3456.93359375,1484.0662841796875
2024-04-19,1452.607666015625,3520.943359375,733.13623046875,1300.52783203125,370.1498718261719,3425.19677734375,1490.3297119140625
2024-04-20,1452.607666015625,3520.943359375,733.13623046875,1300.52783203125,370.1498718261719,3425.19677734375,1490.3297119140625
2024-04-21,1452.607666015625,3520.943359375,733.13623046875,1300.52783203125,370.1498718261719,3425.19677734375,1490.3297119140625
2024-04-22,1462.2166748046875,3556.280517578125,723.99169921875,1320.3409423828125,370.6291198730469,3517.048583984375,1507.260986328125
2024-04-23,1441.936279296875,3565.57470703125,721.7894287109375,1329.23388671875,374.02777099609375,3514.56591796875,1452.9932861328125
2024-04-24,1432.895263671875,3525.4072265625,723.7523193359375,1318.498046875,373.7663879394531,3538.612548828125,1454.0699462890625
